finding_id,route_code,route_label,route_kind,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-038,038,38,non_commuter_bus,Moderate efficiency local; step 8,38 - GREEN TREE,"Central Business District, Duquesne Heights, West End, Elliott, Ridgemont, Westwood, South Shore, Mount Washington","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,10919,10919,3.1,338,92.5,10100,1.3,142,2.1,229,37.3,2204,6.8,742,60.5,4321,8.2,586,3035.6,671.9,587.9,-77.9,-80.6
FIND-20260324-039,039,39,non_commuter_bus,Moderate efficiency local; step 8,39 - BROOKLINE,"Brookline, Overbrook, Beechview, Central Business District, Mount Washington, Beltzhoover, South Shore, Bon Air, Strip District, Crawford-Roberts, Allentown","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,36377,36377,10.7,3892,81.2,29538,3.2,1164,3.4,1237,33.6,5888,10.6,3848,62.9,13052,10.8,2241,1577.7,572.3,741.7,-63.7,-53.0
FIND-20260324-040,040,40,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),40 - MOUNT WASHINGTON,"Mount Washington, South Shore, Duquesne Heights, Central Business District, Beechview, Beltzhoover, Allentown, Strip District, Bon Air, Crawford-Roberts, Brookline, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,34927,34927,10.2,3563,82.6,28850,3.1,1083,3.4,1188,35.4,6083,10.6,3696,62.2,12466,9.8,1964,615.8,245.6,368.5,-60.1,-40.2
FIND-20260324-041,041,41,non_commuter_bus,Moderate efficiency local; step 8,41 - BOWER HILL,"Beechview, Brookline, Central Business District, Mount Washington, Beltzhoover, South Shore, Bon Air, Strip District, Crawford-Roberts, Allentown","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,32651,32651,11.9,3885,80.7,26349,3.2,1045,3.7,1208,34.0,5406,10.9,3553,60.6,11281,11.2,2085,1703.0,639.9,635.8,-62.4,-62.7
FIND-20260324-043,043,43,non_commuter_bus,Moderate efficiency local; step 8,43 - BAILEY,"Mount Washington, Allentown, Beltzhoover, South Side Slopes, South Shore, South Side Flats, Central Business District, Beechview, Knoxville, Bon Air, Brookline","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,46517,46517,17.0,7908,76.2,35446,1.8,837,3.7,1721,28.2,6308,15.3,7107,62.6,16778,13.9,3725,701.0,253.2,279.7,-63.9,-60.1
FIND-20260324-051L,051L,51L,commuter_bus,Remaining commuter routes; step 7,51L - CARRICK LIMITED,"Carrick, Allentown, Central Business District, Knoxville, South Shore, Mount Washington, South Side Slopes, Beltzhoover","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,28827,28827,20.2,5823,72.1,20784,2.5,721,3.6,1038,23.8,3251,16.3,4687,59.7,9649,16.9,2732,687.2,274.4,369.3,-60.1,-46.3
FIND-20260324-052L,052L,52L,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),52L - HOMEVILLE LIMITED,"Squirrel Hill South, Greenfield, Central Business District, Hazelwood, Bluff, Crawford-Roberts, Glen Hazel, South Side Flats","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,36259,36259,13.1,4750,74.5,27013,5.3,1922,4.2,1523,34.7,5148,22.3,6683,48.8,9020,12.5,2310,431.6,188.1,258.3,-56.4,-40.2
FIND-20260324-053L,053L,53L,non_commuter_bus,Moderate efficiency local; step 8,53L - HOMESTEAD PARK LIMITED,"Lincoln Place, Squirrel Hill South, Greenfield, Central Business District, Hazelwood, Bluff, Crawford-Roberts, Glen Hazel, South Side Flats","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,39531,39531,11.2,4427,78.3,30953,4.6,1818,3.5,1384,34.0,5515,20.7,6879,54.6,10876,11.0,2191,1431.4,692.6,748.5,-51.6,-47.7
FIND-20260324-058,058,58,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),58 - GREENFIELD,"Greenfield, Hazelwood, Squirrel Hill South, South Oakland, Central Oakland, North Oakland, West Oakland, Central Business District, Bluff, Squirrel Hill North, Shadyside, South Side Flats, Crawford-Roberts, Terrace Village","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,81108,81108,10.2,8273,73.2,59371,10.3,8354,4.0,3244,29.2,9490,31.8,20332,39.2,15973,13.1,5338,1092.5,355.2,410.8,-67.5,-62.4
FIND-20260324-065,065,65,non_commuter_bus,Substantial service duplication/overlap; step 2,65 - SQUIRREL HILL,"Squirrel Hill South, Greenfield, South Oakland, Central Business District, Hazelwood, Crawford-Roberts, Bluff, Central Oakland, South Side Flats, West Oakland, Strip District, Terrace Village, Squirrel Hill North, Point Breeze","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,58585,58585,9.7,5683,75.3,44115,9.0,5273,3.8,2226,33.3,7524,30.1,14339,42.9,12546,11.0,3217,435.0,106.9,101.5,-75.4,-76.7
FIND-20260324-071,071,71,non_commuter_bus,Very low efficiency (<100 weekday riders); step 1,71 - EDGEWOOD TOWN CENTER,"Swisshelm Park, Point Breeze, Regent Square, Squirrel Hill South","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,16503,16503,5.1,842,81.6,13466,7.1,1172,3.4,561,46.2,3340,10.4,1670,64.8,5428,10.3,863,87.4,51.0,50.1,-41.7,-42.7
FIND-20260324-G3,G3,G3,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),G3 - MOON FLYER,"Central Business District, Duquesne Heights, South Shore, Strip District, Crawford-Roberts, Mount Washington, Crafton Heights, East Carnegie, Oakwood, Sheraden, Chateau, Elliott, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,16341,16341,8.9,1454,82.7,13514,3.9,637,1.9,310,37.9,3272,11.1,1813,60.4,6146,8.4,855,944.3,203.0,191.3,-78.5,-79.7
FIND-20260324-G31,G31,G31,commuter_bus,Substantial service duplication/overlap; step 2,G31 - BRIDGEVILLE FLYER,"Central Business District, Duquesne Heights, South Shore, Strip District, Crawford-Roberts, Mount Washington, Crafton Heights, East Carnegie, Oakwood, Sheraden, Chateau, Elliott, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,16341,16341,8.9,1454,82.7,13514,3.9,637,1.9,310,37.9,3272,11.1,1813,60.4,6146,8.4,855,666.8,155.7,219.6,-76.7,-67.1
FIND-20260324-O1,O1,O1,commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),O1 - ROSS FLYER,"Central Business District, Crawford-Roberts, Strip District, North Shore","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,1471,1471,1.0,15,80.8,1189,15.6,229,3.0,44,59.5,635,8.7,128,47.5,551,3.9,45,1192.4,229.8,294.8,-80.7,-75.3
