finding_id,route_code,route_label,route_kind,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-015,015,15,non_commuter_bus,Low efficiency but retained for equity per memo,15 - CHARLES,"Perry South, Perry North, Central Northside, Allegheny Center, California-Kirkbride, Northview Heights, East Allegheny, Summer Hill, Allegheny West, Marshall-Shadeland, Central Business District, North Shore, Fineview, Crawford-Roberts, Strip District, Spring Hill-City View","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,20353,20353,32.7,6655,56.5,11499,2.7,550,2.8,570,27.2,2625,20.9,4173,57.3,5826,15.9,1617,1070.7,583.2,694.2,-45.5,-35.2
FIND-20260324-089,089,89,non_commuter_bus,Low efficiency but retained for equity per memo,89 - GARFIELD COMMONS,"Garfield, East Liberty, Shadyside, Stanton Heights, Larimer, Central Lawrenceville, Friendship, Morningside, Bloomfield, Point Breeze, Point Breeze North, Highland Park, Homewood West","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,57622,57622,25.1,14463,61.7,35553,6.4,3688,4.0,2305,29.7,9074,14.0,7880,50.9,17766,16.1,5619,405.7,185.5,198.4,-54.3,-51.1
