finding_id,route_code,route_label,route_kind,reduction_tier,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-022,022,22,non_commuter_bus,major,Major frequency reduction; step 6,22 - MCCOY,"Esplen, Sheraden, Duquesne Heights, Marshall-Shadeland, South Shore, Central Business District, Elliott, Mount Washington, Chateau, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,15284,15284,13.2,2017,80.3,12273,1.0,153,2.6,397,32.4,2564,11.0,1674,59.0,5473,13.0,1206,874.8,443.3,536.2,-49.3,-38.7
FIND-20260324-024,024,24,non_commuter_bus,major,Major frequency reduction; step 6,24 - WEST PARK,"Esplen, Sheraden, Duquesne Heights, Marshall-Shadeland, South Shore, Central Business District, Elliott, Mount Washington, Chateau, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,15284,15284,13.2,2017,80.3,12273,1.0,153,2.6,397,32.4,2564,11.0,1674,59.0,5473,13.0,1206,1702.4,890.1,1131.4,-47.7,-33.5
FIND-20260324-027,027,27,non_commuter_bus,major,Major frequency reduction; step 6,27 - FAIRYWOOD,"Windgap, Crafton Heights, Sheraden, Fairywood, Elliott, Chartiers City, Duquesne Heights, Esplen, West End, Central Business District, South Shore, Westwood, Mount Washington","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,14870,14870,10.9,1621,83.2,12372,1.0,149,1.6,238,32.6,2466,11.7,1739,63.6,5734,9.5,856,1136.5,579.1,765.6,-49.0,-32.6
FIND-20260324-028X,028X,28X,non_commuter_bus,minor,PIT–Carnegie West Busway only,28X - AIRPORT FLYER,"Shadyside, Squirrel Hill North, Central Oakland, North Oakland, Point Breeze, West Oakland, Central Business District, Larimer, Point Breeze North, Duquesne Heights, South Oakland, South Shore, Squirrel Hill South, Crawford-Roberts, Homewood West, Mount Washington, Bluff, Crafton Heights, East Carnegie, Oakwood, Sheraden, South Side Flats, Strip District, Chateau, Elliott, Terrace Village, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,93563,93563,15.3,14315,71.4,66804,7.7,7204,3.2,2994,31.0,12074,25.3,19288,46.9,22777,11.6,5633,2008.5,951.2,1298.1,-52.6,-35.4
FIND-20260324-031,031,31,non_commuter_bus,major,Major frequency reduction; step 6,31 - BRIDGEVILLE,"Westwood, Crafton Heights, Oakwood, Central Business District, Elliott, Duquesne Heights, East Carnegie, West End, South Shore, Strip District, Crawford-Roberts, Mount Washington","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,16341,16341,8.9,1454,82.7,13514,3.9,637,1.9,310,37.9,3272,11.1,1813,60.4,6146,8.4,855,1691.4,779.6,1040.1,-53.9,-38.5
FIND-20260324-044,044,44,non_commuter_bus,minor,Kohne/Fisher–South Hills Junction only,44 - VIA KNOXVILLE,"Beltzhoover, Mount Washington, Allentown, Knoxville, Carrick, Central Business District, Mt. Oliver, St. Clair, Arlington, Bon Air, South Shore, Strip District, Crawford-Roberts, South Side Slopes, Beechview","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,37945,37945,17.5,6640,73.6,27928,3.9,1480,3.5,1328,28.6,5154,14.5,5485,60.5,12968,14.3,3065,1022.2,511.7,548.4,-49.9,-46.4
FIND-20260324-048,048,48,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",48 - ARLINGTON,"South Side Slopes, South Side Flats, Allentown, Arlington, Mount Washington, Arlington Heights, Knoxville, South Shore, Beltzhoover, Central Business District, Mt. Oliver, St. Clair","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,25946,25946,19.1,4956,74.0,19200,2.1,545,3.3,856,27.4,3598,17.0,4407,57.8,9293,15.8,2540,3017.5,1299.3,1600.8,-56.9,-46.9
FIND-20260324-051,051,51,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",51 - CARRICK,"South Side Slopes, Carrick, South Side Flats, Allentown, Knoxville, South Shore, Mount Washington, Central Business District, Arlington","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,36012,36012,19.0,6842,73.5,26469,2.5,900,3.3,1188,26.2,4636,17.4,6254,59.7,12565,15.2,3199,8062.6,4233.4,5417.1,-47.5,-32.8
FIND-20260324-053,053,53,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",53 - HOMESTEAD PARK,Lincoln Place,"City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,3272,3272,3.8,124,93.6,3063,2.0,65,0.5,16,31.2,432,14.1,460,77.9,1119,4.8,69,,,,,
FIND-20260324-054,054,54,non_commuter_bus,major,Major frequency reduction; step 6,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,"Knoxville, Bloomfield, Lower Lawrenceville, Polish Hill, North Oakland, Strip District, Allegheny Center, Bedford Dwellings, South Side Slopes, Central Northside, Allentown, Shadyside, Central Lawrenceville, North Shore, Upper Hill, East Allegheny, South Side Flats, Central Oakland, West Oakland, Allegheny West, South Oakland, Crawford-Roberts, Fineview, Squirrel Hill North, Terrace Village, Troy Hill, Chateau, Middle Hill, Arlington, Bluff, Central Business District, Beltzhoover, Bon Air, Carrick, Mount Washington, Brookline","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,128287,128287,24.3,31174,64.1,82232,5.6,7184,3.6,4618,27.2,15492,25.4,28238,50.5,34621,16.5,11312,4018.5,2073.0,2961.7,-48.4,-26.3
