trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4328020,G2,4,INBOUND-DOWNTOWN,,1,22 -140,shp-G2-02,1,1
4329010,26,2,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,31 -098,shp-26-51,1,1
4330070,48,3,OUTBOUND-SOUTH HILLS JUNCTION,,0,48 -148,shp-48-52,1,1
433090,77,1,OUTBOUND-ALCOMA,,0,77 -280,shp-77-54,1,1
4331020,7,4,INBOUND-DOWNTOWN,,1,7 -034,shp-7-01,1,1
4332020,87,4,INBOUND-DOWNTOWN,,1,87 -663,shp-87-01,1,1
4333020,15,4,INBOUND-DOWNTOWN,,1,91 -689,shp-15-01,1,1
4334010,38,2,INBOUND-DOWNTOWN,,1,36 -102,shp-38-03,1,1
4335010,14,2,INBOUND-ALLEGHENY STATION,,1,1 -005,shp-14-51,1,1
4336090,86,1,OUTBOUND-WILKINSBURG,,0,75 -278,shp-86-52,1,1
4337070,13,3,INBOUND-DOWNTOWN,,1,6 -016,shp-13-01,1,1
4338070,71C,3,INBOUND-OAKLAND,,1,P1  -458,shp-71C-01,1,1
4339070,21,3,INBOUND-DOWNTOWN,,1,38 -125,shp-21-01,1,1
4340020,93,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,93 -710,shp-93-52,1,1
434020,P68,4,INBOUND-DOWNTOWN,,1,P68 -826,shp-P68-01,1,1
4341070,69,3,INBOUND-WILKINSBURG,,1,69 -328,shp-69-02,1,1
4342020,67,4,OUTBOUND-CCAC BOYCE,,0,P69 -828,shp-67-53,1,1
4343090,43,1,INBOUND-DOWNTOWN,,1,43 -116,shp-43-01,1,1
4344090,16,1,OUTBOUND-AVALON LOOP,,0,16 -045,shp-16-52,1,1
4345070,61D,3,INBOUND-OAKLAND,,1,61D-300,shp-61D-02,1,1
4346020,51,4,INBOUND-DOWNTOWN,,1,51L-280,shp-51-02,1,1
4347070,17,3,OUTBOUND-SHADELAND,,0,4 -008,shp-17-51,1,1
4348020,48,4,INBOUND-DOWNTOWN,,1,G31 -736,shp-48-01,1,1
4349020,86,4,OUTBOUND-WILKINSBURG,,0,86 -651,shp-86-52,1,1
4350070,59,3,OUTBOUND-NORTH VERSAILLES,,0,Y46 -472,shp-59-52,1,1
435010,71B,2,OUTBOUND-HIGHLAND PARK,,0,71B-245,shp-71B-52,1,1
4351070,43,3,OUTBOUND-SOUTH HILLS JUNCTION,,0,43 -135,shp-43-52,1,1
4352010,44,2,INBOUND-DOWNTOWN,,1,43 -116,shp-44-03,1,1
4353010,82,2,INBOUND-DOWNTOWN,,1,82 -295,shp-82-02,1,1
4354070,61A,3,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-233,shp-61A-54,1,1
4355010,61D,2,INBOUND-OAKLAND,,1,51 -131,shp-61D-02,1,1
4356020,12,4,INBOUND-DOWNTOWN,,1,O5  -751,shp-12-03,1,1
4357090,71C,1,OUTBOUND-WILKINSBURG,,0,28X-094,shp-71C-51,1,1
4358090,13,1,OUTBOUND-WEST VIEW,,0,13 -033,shp-13-51,1,1
4359090,48,1,INBOUND-DOWNTOWN,,1,48 -121,shp-48-01,1,1
4360020,16,4,OUTBOUND-AVALON LOOP,,0,91 -688,shp-16-52,1,1
436070,88,3,OUTBOUND-BAKERY SQUARE,,0,71C-354,shp-88-52,1,1
4361020,87,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,87 -665,shp-87-53,1,1
4362070,48,3,OUTBOUND-SOUTH HILLS JUNCTION,,0,48 -146,shp-48-52,1,1
4363070,71A,3,INBOUND-OAKLAND,,1,67 -321,shp-71A-01,1,1
4364020,13,4,OUTBOUND-WEST VIEW,,0,13 -065,shp-13-51,1,1
4365010,G2,2,INBOUND-DOWNTOWN,,1,24 -076,shp-G2-02,1,1
4366010,17,2,INBOUND-DOWNTOWN,,1,6 -015,shp-17-02,1,1
4367010,61D,2,INBOUND-OAKLAND,,1,61B-199,shp-61D-02,1,1
4368090,71D,1,OUTBOUND-WILKINSBURG,,0,71D-266,shp-71D-51,1,1
4369020,71D,4,OUTBOUND-WILKINSBURG,,0,71D-571,shp-71D-51,1,1
4370070,61B,3,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61B-263,shp-61B-54,1,1
437020,58,4,INBOUND-DOWNTOWN,,1,71C-539,shp-58-02,1,1
4371020,82,4,INBOUND-DOWNTOWN,,1,82 -636,shp-82-02,1,1
4372020,91,4,OUTBOUND-RIDC PARK,,0,1 -008,shp-91-51,1,1
4373090,G2,1,INBOUND-DOWNTOWN,,1,31 -100,shp-G2-02,1,1
4374090,58,1,OUTBOUND-CARNEGIE MELLON,,0,58 -169,shp-58-52,1,1
4375070,58,3,OUTBOUND-CARNEGIE MELLON,,0,71A-331,shp-58-52,1,1
4376090,48,1,INBOUND-DOWNTOWN,,1,48 -120,shp-48-01,1,1
4377070,P1,3,OUTBOUND-SWISSVALE,,0,P1  -454,shp-P1-52,1,1
4378010,28X,2,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,89 -317,shp-28X-52,1,1
4379020,28X,4,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,28X-171,shp-28X-52,1,1
